"activity_id","provision_interval","population","geo"
"hairdressers-hairstylists-and-cosmetologists-state47","5030867.83508571","19308.8335","state47"
"hairdressers-hairstylists-and-cosmetologists-state01","3950429.58068571","15164.4297","state01"
"hairdressers-hairstylists-and-cosmetologists-state28","2857726.13125714","9249.06584","state28"
"hairdressers-hairstylists-and-cosmetologists-state05","3414784.28297143","10893.23054","state05"
"hairdressers-hairstylists-and-cosmetologists-state22","6248655.63685714","23795.08568","state22"
"hairdressers-hairstylists-and-cosmetologists-state40","4127573.17748571","14148.18566","state40"
"hairdressers-hairstylists-and-cosmetologists-state48","39268424.0189143","129582.39916","state48"
"hairdressers-hairstylists-and-cosmetologists-state30","768406.199314286","3247.77128","state30"
"hairdressers-hairstylists-and-cosmetologists-state16","1122011.42091429","3829.14534","state16"
"hairdressers-hairstylists-and-cosmetologists-state56","300054.178114286","1260.89474","state56"
"hairdressers-hairstylists-and-cosmetologists-state08","3750926.67565714","16913.18326","state08"
"hairdressers-hairstylists-and-cosmetologists-state35","1426565.63057143","4530.6568","state35"
"hairdressers-hairstylists-and-cosmetologists-state04","3663316.78834286","14513.70388","state04"
"hairdressers-hairstylists-and-cosmetologists-state49","2590744.33714286","12473.13812","state49"
"hairdressers-hairstylists-and-cosmetologists-state32","3520258.58331429","12942.60348","state32"
"hairdressers-hairstylists-and-cosmetologists-state53","5828616.82628571","24926.74632","state53"
"hairdressers-hairstylists-and-cosmetologists-state41","3550754.57691429","15951.96012","state41"
"hairdressers-hairstylists-and-cosmetologists-state06","37503550.7154857","143361.2813","state06"
"hairdressers-hairstylists-and-cosmetologists-state02","369174.274285714","1300.45966","state02"
