"date","geo_level","sandwich_population","sandwich_population_proportion","sandwich_time_total","sandwich_time_median"
2021-01-01,"state30",11557.6430107025,0.0135697644492093,137196.518633476,905
2021-01-01,"state31",40724.2874122411,0.0248072014361286,258489.273704678,255
2021-01-01,"state32",63891.3622501699,0.0314962472677596,679665.268968692,690
2021-01-01,"state33",35927.1432737222,0.0323786097728865,84892.1593519992,60
2021-01-01,"state34",116173.862815611,0.0156589697123317,941549.559883297,411
2021-01-01,"state35",38794.9323801331,0.021127467026635,317868.655997832,398
2021-01-01,"state36",360458.316171816,0.0246156476902733,3220510.00166619,570
2021-01-01,"state37",220417.369487393,0.0278456972261898,1791780.93779354,495
2021-01-01,"state38",13613.7069354367,0.0226308347854218,118176.816739834,300
2021-01-01,"state39",211170.334408854,0.0197137598316793,1963388.90924297,615
2021-01-01,"state40",80613.5631518104,0.0239440016239293,815868.137991635,574
2021-01-01,"state41",99462.6609863112,0.0266303916099376,908345.14830806,570
2021-01-01,"state42",236209.180259654,0.0211463929547645,1965045.4168558,469
2021-01-01,"state44",32329.5246681731,0.0406208211137419,235251.41057459,575
2021-01-01,"state45",120266.158890878,0.0317798731471435,994970.321168407,590
2021-01-01,"state46",29115.1127488701,0.0365293857118256,208574.962856959,440
2021-01-01,"state47",164285.103525771,0.0283364535697784,1344414.61621881,465
2021-01-01,"state48",572115.033729387,0.0258485087452102,5252576.54314979,533
2021-01-01,"state49",101373.046846557,0.0361992921221388,934568.493324028,525
2021-01-01,"state50",23361.9858138685,0.0429001223364662,203402.713277447,530
2021-01-01,"state51",163010.538028397,0.0206819148958223,1381288.78296211,474
2021-01-01,"state53",155218.513589976,0.0233599451031629,1568493.50661294,645
2021-01-01,"state54",61871.2044287452,0.0341549429533053,753057.081124425,755
2021-01-01,"state55",125218.235595955,0.0241868981532781,980439.859724052,354
2021-01-01,"state56",32788.9779693742,0.0591673572494973,512575.845399011,1068
2022-01-01,"state01",114408.204216392,0.0298171329319357,1184535.80448311,657
2022-01-01,"state02",24078.6012242986,0.0649917804101144,272384.261363286,547
2022-01-01,"state04",63986.3900074871,0.0121711328200931,428993.79273672,320
2022-01-01,"state05",74543.0487489151,0.0304196758053295,714794.407182575,636
2022-01-01,"state06",679566.567919277,0.0254874222722738,6014457.40408579,504
2022-01-01,"state08",83740.506164691,0.0179336690421846,699018.1540074,631
2022-01-01,"state09",44434.6233569096,0.0155780160975827,374812.183799218,623
2022-01-01,"state10",2369.01822550575,0.00309771837612179,12186.4995716567,561
2022-01-01,"state12",223934.687600256,0.0157459551265161,2306777.30671987,710
2022-01-01,"state13",151093.939368573,0.0175177381770804,1421104.23739978,635
2022-01-01,"state15",2784.07018275671,0.00359029260004281,36192.9123758373,780
2022-01-01,"state16",29408.610415143,0.0202107958910829,373944.634372013,812
2022-01-01,"state17",193767.131826412,0.0174306432235135,1626741.14897224,585
2022-01-01,"state18",102782.48727636,0.0169936647863973,842127.412745219,450
2022-01-01,"state19",109788.519397688,0.0362002855980107,897450.436095423,423
2022-01-01,"state20",59798.6806115808,0.0224161391777416,509115.142410163,435
2022-01-01,"state21",75355.2728433364,0.0196136362933698,707472.359318018,606
2022-01-01,"state22",77188.1542249266,0.0231906914674284,679364.279968979,616
2022-01-01,"state24",141928.254837833,0.0251998327796413,1151241.24023017,456
2022-01-01,"state25",92663.3790520553,0.0168211328278,772873.711215041,420
2022-01-01,"state26",183490.310829597,0.0222144326932366,1606842.0099117,489
2022-01-01,"state27",100129.191610351,0.019139389557812,1063698.93977633,595
2022-01-01,"state28",125745.502640215,0.056642935056196,1059796.48407073,408
2022-01-01,"state29",133499.781968573,0.0260334808566109,1172946.61316838,482
2022-01-01,"state30",9730.89583792712,0.0104160540474482,115305.998346385,905
2022-01-01,"state31",27428.9398480658,0.0173132142257759,204291.416671336,267
